"","date","ccg_id","name","items","cost","list_size","covid_period"
"1","2016-11-01","Y56","LONDON COMMISSIONING REGION","76422","1243997.3","9466426","pre-covid year 4"
"2","2016-11-01","Y59","SOUTH EAST COMMISSIONING REGION","121990","1750610.74","9059775","pre-covid year 4"
"3","2016-11-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","101305","1366697.58","6684222","pre-covid year 4"
"4","2016-11-01","Y60","MIDLANDS COMMISSIONING REGION","165028","2077036.4","10793408","pre-covid year 4"
"5","2016-11-01","Y62","NORTH WEST COMMISSIONING REGION","119403","1456268.88","7296069","pre-covid year 4"
"6","2016-11-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","145906","1758916.93","8805452","pre-covid year 4"
"7","2016-11-01","Y58","SOUTH WEST COMMISSIONING REGION","97149","1188506.13","5638750","pre-covid year 4"
"8","2016-12-01","Y56","LONDON COMMISSIONING REGION","80967","1313300.07","9466426","pre-covid year 4"
"9","2016-12-01","Y59","SOUTH EAST COMMISSIONING REGION","133778","1833036.87","9059775","pre-covid year 4"
"10","2016-12-01","Y60","MIDLANDS COMMISSIONING REGION","180602","2185636.05","10793408","pre-covid year 4"
"11","2016-12-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","113090","1494763.3","6684222","pre-covid year 4"
"12","2016-12-01","Y62","NORTH WEST COMMISSIONING REGION","127733","1554720.28","7296069","pre-covid year 4"
"13","2016-12-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","158987","1884570.83","8805452","pre-covid year 4"
"14","2016-12-01","Y58","SOUTH WEST COMMISSIONING REGION","106829","1280681.09","5638750","pre-covid year 4"
"15","2017-01-01","Y56","LONDON COMMISSIONING REGION","78244","1145534.66","9584267","pre-covid year 4"
"16","2017-01-01","Y59","SOUTH EAST COMMISSIONING REGION","127650","1648070.56","9122155","pre-covid year 4"
"17","2017-01-01","Y60","MIDLANDS COMMISSIONING REGION","170151","1950754.33","10867850","pre-covid year 4"
"18","2017-01-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","106295","1287791.43","6724132","pre-covid year 4"
"19","2017-01-01","Y62","NORTH WEST COMMISSIONING REGION","122014","1330831.14","7342575","pre-covid year 4"
"20","2017-01-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","151987","1658667.99","8850468","pre-covid year 4"
"21","2017-01-01","Y58","SOUTH WEST COMMISSIONING REGION","101129","1098348.75","5679438","pre-covid year 4"
"22","2017-02-01","Y56","LONDON COMMISSIONING REGION","67811","1048386.11","9584267","pre-covid year 4"
"23","2017-02-01","Y59","SOUTH EAST COMMISSIONING REGION","110310","1459459.04","9122155","pre-covid year 4"
"24","2017-02-01","Y60","MIDLANDS COMMISSIONING REGION","146991","1746134.07","10867850","pre-covid year 4"
"25","2017-02-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","92730","1150362.05","6724132","pre-covid year 4"
"26","2017-02-01","Y62","NORTH WEST COMMISSIONING REGION","104125","1237078.15","7342575","pre-covid year 4"
"27","2017-02-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","131823","1512342.04","8850468","pre-covid year 4"
"28","2017-02-01","Y58","SOUTH WEST COMMISSIONING REGION","89051","1010981.43","5679438","pre-covid year 4"
"29","2017-03-01","Y56","LONDON COMMISSIONING REGION","74529","1194163.52","9584267","pre-covid year 4"
"30","2017-03-01","Y59","SOUTH EAST COMMISSIONING REGION","121551","1673509.82","9122155","pre-covid year 4"
"31","2017-03-01","Y60","MIDLANDS COMMISSIONING REGION","161142","1974059.59","10867850","pre-covid year 4"
"32","2017-03-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","100994","1336657.64","6724132","pre-covid year 4"
"33","2017-03-01","Y62","NORTH WEST COMMISSIONING REGION","113645","1408793.73","7342575","pre-covid year 4"
"34","2017-03-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","142434","1703848.1","8850468","pre-covid year 4"
"35","2017-03-01","Y58","SOUTH WEST COMMISSIONING REGION","97781","1140941.06","5679438","pre-covid year 4"
"36","2017-04-01","Y56","LONDON COMMISSIONING REGION","64117","974805.62","9637413","pre-covid year 3"
"37","2017-04-01","Y59","SOUTH EAST COMMISSIONING REGION","105198","1401918.15","9145638","pre-covid year 3"
"38","2017-04-01","Y60","MIDLANDS COMMISSIONING REGION","139847","1704668.87","10888992","pre-covid year 3"
"39","2017-04-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","86944","1116023.03","6740050","pre-covid year 3"
"40","2017-04-01","Y62","NORTH WEST COMMISSIONING REGION","97322","1179570.29","7359641","pre-covid year 3"
"41","2017-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","123994","1444610.75","8859935","pre-covid year 3"
"42","2017-04-01","Y58","SOUTH WEST COMMISSIONING REGION","84473","988980.65","5696170","pre-covid year 3"
"43","2017-05-01","Y56","LONDON COMMISSIONING REGION","70075","1093337.3","9653037","pre-covid year 3"
"44","2017-05-01","Y59","SOUTH EAST COMMISSIONING REGION","114370","1521198.18","9147397","pre-covid year 3"
"45","2017-05-01","Y60","MIDLANDS COMMISSIONING REGION","151695","1842504.52","10895933","pre-covid year 3"
"46","2017-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","96005","1218809.84","6744075","pre-covid year 3"
"47","2017-05-01","Y62","NORTH WEST COMMISSIONING REGION","106787","1288591.93","7362396","pre-covid year 3"
"48","2017-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","135417","1586428.37","8862140","pre-covid year 3"
"49","2017-05-01","Y58","SOUTH WEST COMMISSIONING REGION","92319","1069880.76","5698435","pre-covid year 3"
"50","2017-06-01","Y56","LONDON COMMISSIONING REGION","67927","1084227.12","9674818","pre-covid year 3"
"51","2017-06-01","Y59","SOUTH EAST COMMISSIONING REGION","110013","1548024.86","9157124","pre-covid year 3"
"52","2017-06-01","Y60","MIDLANDS COMMISSIONING REGION","147601","1828717.99","10910884","pre-covid year 3"
"53","2017-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","92258","1214859.12","6751124","pre-covid year 3"
"54","2017-06-01","Y62","NORTH WEST COMMISSIONING REGION","102493","1283023.24","7369148","pre-covid year 3"
"55","2017-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","130842","1590163.75","8866619","pre-covid year 3"
"56","2017-06-01","Y58","SOUTH WEST COMMISSIONING REGION","89060","1071147.07","5706891","pre-covid year 3"
"57","2017-07-01","Y56","LONDON COMMISSIONING REGION","65952","992435.17","9695070","pre-covid year 3"
"58","2017-07-01","Y59","SOUTH EAST COMMISSIONING REGION","105242","1380824.35","9165694","pre-covid year 3"
"59","2017-07-01","Y60","MIDLANDS COMMISSIONING REGION","140590","1649482.71","10916401","pre-covid year 3"
"60","2017-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","88918","1082458.7","6759405","pre-covid year 3"
"61","2017-07-01","Y62","NORTH WEST COMMISSIONING REGION","99284","1156568.67","7372713","pre-covid year 3"
"62","2017-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","125998","1415526.23","8870273","pre-covid year 3"
"63","2017-07-01","Y58","SOUTH WEST COMMISSIONING REGION","85141","943223.29","5712218","pre-covid year 3"
"64","2017-08-01","Y56","LONDON COMMISSIONING REGION","65564","907844.45","9712419","pre-covid year 3"
